ACODE	gemeente	Sampled	EGG	Corop	Provincie
10531	Aagtekerke	Sampled	96	32	Zeeland
11264	Aalsmeer	Sampled	62	23	Noord-Holland
11423	Aalst [NB]	Sampled	114	36	Noord-Brabant
11046	Aalten	Sampled	30	14	Gelderland
11020	Aardenburg	Sampled	98	31	Zeeland
10757	Aarle-Rixtel	Sampled	115	36	Noord-Brabant
10439	Abbekerk	Sampled	54	18	Noord-Holland
11026	Abbenbroek	Sampled	91	29	Zuid-Holland
11184	Abcoude-Baambrugge	Sampled	48	17	Utrecht
10712	Abcoude-Proostdij	Sampled	48	17	Utrecht
10199	Achtkarspelen	Sampled	9	4	Friesland
10524	Achttienhoven [Ut]	Sampled	48	17	Utrecht
10996	Adorp	Sampled	6	3	Groningen
10999	Aduard	Sampled	6	3	Groningen
10157	Aengwirden	Sampled	9	6	Friesland
10346	Akersloot	Sampled	55	19	Noord-Holland
11327	Alblasserdam	No data	76	30	Zuid-Holland
10495	Alem, Maren en Kessel	Sampled	111	16	Noord-Brabant
10349	Alkemade	Sampled	72	25	Zuid-Holland
10527	Alkmaar	Sampled	55	19	Noord-Holland
11053	Almelo [2]	Sampled	24	12	Overijssel
10788	Almkerk	Sampled	105	34	Noord-Brabant
10517	Alphen aan den Rijn	No data	73	28	Zuid-Holland
10710	Alphen en Riel	Sampled	108	34	Noord-Brabant
11400	Ambt Delden	Sampled	24	12	Overijssel
10396	Ambt Doetinchem	Sampled	27	14	Gelderland
10174	Ambt Hardenberg	No data	21	10	Overijssel
11069	Ambt Ommen	No data	21	10	Overijssel
11088	Ambt Vollenhove	No data	19	10	Overijssel
10922	Amby	Sampled	126	39	Limburg
11349	Ameide	Sampled	77	30	Zuid-Holland
11153	Ameland	Sampled	13	4	Friesland
11372	Amerongen	Sampled	44	17	Utrecht
10948	Amersfoort	Sampled	43	17	Utrecht
10863	Ammerstol	No data	75	28	Zuid-Holland
10151	Ammerzoden	Sampled	42	16	Gelderland
10062	Amstenrade	Sampled	125	39	Limburg
11150	Amsterdam	No data	63	23	Noord-Holland
10871	Andel	Sampled	105	34	Noord-Brabant
10822	Andijk	Sampled	54	18	Noord-Holland
11131	Angerlo	No data	26	15	Gelderland
10936	Ankeveen	Sampled	65	24	Noord-Holland
10787	Anloo	Sampled	16	7	Drenthe
10344	Anna Paulowna	Sampled	52	18	Noord-Holland
11075	Apeldoorn	Sampled	33	13	Gelderland
11296	Appeltern	No data	41	16	Gelderland
10886	Appingedam	Sampled	2	2	Groningen
10202	Arcen en Velden	Sampled	120	37	Limburg
10079	Arkel	No data	76	30	Zuid-Holland
11419	Arnemuiden	Sampled	96	32	Zeeland
10795	Arnhem	Sampled	35	15	Gelderland
11369	Asperen	Sampled	78	30	Zuid-Holland
10522	Assen	Sampled	17	7	Drenthe
11373	Assendelft	Sampled	58	22	Noord-Holland
10478	Asten	Sampled	118	36	Noord-Brabant
11147	Avenhorn	Sampled	54	18	Noord-Holland
11190	Avereest	Sampled	21	10	Overijssel
11289	Axel	Sampled	99	31	Zeeland
10422	Baarderadeel	Sampled	10	4	Friesland
10006	Baardwijk	Sampled	106	34	Noord-Brabant
10634	Baarland	Sampled	97	32	Zeeland
10060	Baarle-Nassau	Sampled	108	34	Noord-Brabant
11411	Baarn	Sampled	44	17	Utrecht
11255	Baexem	Sampled	123	38	Limburg
10539	Baflo	Sampled	1	3	Groningen
10749	Bakel en Milheeze	Sampled	118	36	Noord-Brabant
10849	Balgoij	No data	40	15	Gelderland
10943	Barendrecht [2]	No data	86	29	Zuid-Holland
10906	Barneveld	Sampled	31	13	Gelderland
10156	Barradeel	Sampled	12	4	Friesland
10973	Barsingerhorn	Sampled	53	18	Noord-Holland
10447	Barwoutswaarder	Sampled	73	28	Zuid-Holland
10921	Batenburg	Sampled	41	15	Gelderland
11030	Bathmen	Sampled	22	11	Overijssel
10425	Bedum	Sampled	1	3	Groningen
11089	Beegden	Sampled	123	38	Limburg
11374	Beek [Li]	Sampled	124	39	Limburg
10173	Beek en Donk	Sampled	115	36	Noord-Brabant
10816	Beemster	Sampled	56	23	Noord-Holland
11410	Beers	Sampled	119	35	Noord-Brabant
11043	Beerta	Sampled	3	1	Groningen
10259	Beesd	No data	38	16	Gelderland
10195	Beesel	Sampled	121	37	Limburg
10536	Beets	No data	56	23	Noord-Holland
10520	Beilen	Sampled	17	9	Drenthe
10292	Belfeld	Sampled	121	37	Limburg
10340	Bellingwolde	Sampled	3	1	Groningen
10878	Bemelen	Sampled	127	39	Limburg
10744	Bemmel	Sampled	37	15	Gelderland
10734	Bennebroek	Sampled	61	21	Noord-Holland
11330	Benschop	Sampled	49	17	Utrecht
10398	Benthuizen	No data	83	28	Zuid-Holland
10796	Berg en Terblijt	Sampled	127	39	Limburg
