"gemeente"	"Amsterdamse code"	"begindatum"	"einddatum"	"CBS code"	"CBS code 1966"	"Wageningse code"	"Provincie"	"EGG"	"Corop"	"EUCLIDMIDX"	"EUCLIDMIDY"	"Wagextra"
"Aa en Hunze"	10787.00	1/1/1998 0:00:00	1/1/2009 0:00:00				3.00					
"Aagtekerke"	10531.00	1/1/1812 0:00:00	7/1/1966 0:00:00	1000.00	647.00	9046.00	9.00	96.00	32.00	2525.00	39724.00	
"Aalburg"	11084.00	1/1/1973 0:00:00	1/1/2009 0:00:00	738.00	738.00	10112.00	10.00	105.00	34.00	13402.00	41640.00	
"Aalsmeer"	11264.00	1/1/1812 0:00:00	1/1/2009 0:00:00	358.00	358.00	7115.00	7.00	62.00	23.00	11339.00	47520.00	
"Aalst [Ge]"	10228.00	1/1/1812 0:00:00	1/1/1818 0:00:00				5.00					
"Aalst [NB]"	11423.00	1/1/1812 0:00:00	1/1/1923 0:00:00	1001.00		10153.00	10.00	114.00		16110.00	37861.00	
"Aalten"	11046.00	1/1/1812 0:00:00	1/1/2009 0:00:00	197.00	197.00	5074.00	5.00	30.00	14.00	23643.00	43767.00	
"Aardenburg"	11020.00	1/1/1812 0:00:00	1/1/1995 0:00:00	648.00	648.00	9085.00	9.00	98.00	31.00	1928.00	36849.00	
"Aarlanderveen"	11242.00	1/1/1812 0:00:00	1/1/1918 0:00:00	1002.00		8179.00	8.00	72.00		10845.00	46065.00	
"Aarle-Rixtel"	10757.00	1/1/1812 0:00:00	1/1/1997 0:00:00	739.00	739.00	10076.00	10.00	115.00	36.00	17303.00	39211.00	
"Abbekerk"	10439.00	1/1/1812 0:00:00	1/1/1979 0:00:00	359.00	359.00	7038.00	7.00	54.00	18.00	12995.00	52750.00	
"Abbenbroek"	11026.00	1/1/1812 0:00:00	1/1/1980 0:00:00	481.00	481.00	8157.00	8.00	91.00		7489.00	42855.00	
"Abcoude [1]"	10712.00	1/1/1812 0:00:00	1/1/1818 0:00:00				6.00					
"Abcoude [2]"	10712.00	5/1/1941 0:00:00	1/1/2009 0:00:00	305.00	305.00	6064.00	6.00	48.00	17.00	12805.00	47374.00	
"Abcoude-Baambrugge"	11184.00	1/1/1818 0:00:00	5/1/1941 0:00:00	1003.00		6064.00	6.00	48.00		12805.00	47374.00	
"Abcoude-Proostdij"	10712.00	1/1/1818 0:00:00	5/1/1941 0:00:00	1004.00		6065.00	6.00	48.00		12534.00	47349.00	
"Abstede"	11068.00	1/1/1818 0:00:00	8/1/1823 0:00:00				6.00					
"Abtsregt"	10946.00	4/1/1817 0:00:00	9/1/1855 0:00:00	1301.00		8194.00	8.00	82.00		8649.00	44516.00	
"Achthoven"	10141.00	1/1/1818 0:00:00	9/8/1857 0:00:00	1302.00		6091.00	6.00	49.00		12742.00	45237.00	
"Achtkarspelen"	10199.00	10/1/1816 0:00:00	1/1/2009 0:00:00	59.00	59.00	2033.00	2.00	9.00	4.00	20441.00	57988.00	
"Achttienhoven [Ut]"	10524.00	1/1/1818 0:00:00	1/1/1954 0:00:00	1005.00		6009.00	6.00	48.00		13741.00	46182.00	
"Achttienhoven [ZH]"	10972.00	4/1/1817 0:00:00	9/1/1855 0:00:00	1303.00		8232.00	8.00	72.00		11800.00	46195.00	
"Ackersdijk en Vrouwenregt"	10013.00	4/1/1817 0:00:00	9/1/1855 0:00:00	1304.00		8195.00	8.00	82.00		8753.00	44328.00	
"Adorp"	10996.00	1/1/1812 0:00:00	1/1/1990 0:00:00	1.00	1.00	1008.00	1.00	6.00	3.00	23128.00	58811.00	
