ACODE	year	value	n_death_OpenArch	diff	diffperc	similarity	min	plus	similar
10002	1910	90	99	-9	-10	+	0	5	5
10002	1911	97	106	-9	-9	+	0	5	5
10002	1912	81	91	-10	-12	+	0	5	5
10002	1913	99	103	-4	-4	0	0	5	5
10002	1914	80	80	0	0	0	0	5	5
10002	1915	86	87	-1	-1	0	0	5	5
10002	1916	80	81	-1	-1	0	0	5	5
10002	1917	127	127	0	0	0	0	5	5
10002	1918	216	236	-20	-9	+	0	5	5
10002	1919	127	139	-12	-9	+	0	5	5
10004	1910	47	52	-5	-11	0	0	0	10
10004	1911	40	40	0	0	0	0	0	10
10004	1912	47	47	0	0	0	0	0	10
10004	1913	62	60	2	3	0	0	0	10
10004	1914	40	41	-1	-2	0	0	0	10
10004	1915	59	60	-1	-2	0	0	0	10
10004	1916	56	60	-4	-7	0	0	0	10
10004	1917	58	60	-2	-3	0	0	0	10
10004	1918	68	71	-3	-4	0	0	0	10
10004	1919	62	59	3	5	0	0	0	10
10005	1910	214	233	-19	-9	+	0	10	0
10005	1911	198	219	-21	-11	+	0	10	0
10005	1912	201	227	-26	-13	+	0	10	0
10005	1913	172	196	-24	-14	+	0	10	0
10005	1914	164	184	-20	-12	+	0	10	0
10005	1915	197	227	-30	-15	+	0	10	0
10005	1916	196	219	-23	-12	+	0	10	0
10005	1917	220	248	-28	-13	+	0	10	0
10005	1918	278	307	-29	-10	+	0	10	0
10005	1919	206	229	-23	-11	+	0	10	0
10006	1910	30	42	-12	-40	+	0	8	2
10006	1911	31	39	-8	-26	+	0	8	2
10006	1912	29	35	-6	-21	+	0	8	2
10006	1913	31	37	-6	-19	+	0	8	2
10006	1914	28	37	-9	-32	+	0	8	2
10006	1915	31	38	-7	-23	+	0	8	2
10006	1916	33	38	-5	-15	0	0	8	2
10006	1917	30	42	-12	-40	+	0	8	2
10006	1918	36	39	-3	-8	0	0	8	2
10006	1919	14	19	-5	-36	+	0	8	2
10007	1910	116	130	-14	-12	+	0	4	6
10007	1911	147	161	-14	-10	+	0	4	6
10007	1912	100	114	-14	-14	+	0	4	6
10007	1913	100	115	-15	-15	+	0	4	6
10007	1914	113	118	-5	-4	0	0	4	6
10007	1915	110	116	-6	-5	0	0	4	6
10007	1916	137	138	-1	-1	0	0	4	6
10007	1917	125	127	-2	-2	0	0	4	6
10007	1918	165	171	-6	-4	0	0	4	6
10007	1919	112	115	-3	-3	0	0	4	6
10008	1910	23	28	-5	-22	+	3	1	6
10008	1911	33	38	-5	-15	0	3	1	6
10008	1912	26	26	0	0	0	3	1	6
10008	1913	37	36	1	3	0	3	1	6
10008	1914	18	13	5	28	-	3	1	6
10008	1915	25	27	-2	-8	0	3	1	6
10008	1916	17	12	5	29	-	3	1	6
10008	1917	28	23	5	18	-	3	1	6
10008	1918	32	30	2	6	0	3	1	6
10008	1919	19	18	1	5	0	3	1	6
10009	1910	23	25	-2	-9	0	0	3	7
10009	1911	22	25	-3	-14	0	0	3	7
10009	1912	22	23	-1	-5	0	0	3	7
10009	1913	23	27	-4	-17	+	0	3	7
10009	1914	18	21	-3	-17	0	0	3	7
10009	1915	18	26	-8	-44	+	0	3	7
10009	1916	24	26	-2	-8	0	0	3	7
10009	1917	20	25	-5	-25	+	0	3	7
10009	1918	41	43	-2	-5	0	0	3	7
10009	1919	37	39	-2	-5	0	0	3	7
10010	1910	17	23	-6	-35	+	0	2	8
10010	1911	11	13	-2	-18	0	0	2	8
10010	1912	19	20	-1	-5	0	0	2	8
10010	1913	9	11	-2	-22	0	0	2	8
10010	1914	17	16	1	6	0	0	2	8
10010	1915	15	16	-1	-7	0	0	2	8
10010	1916	7	10	-3	-43	+	0	2	8
10010	1917	12	14	-2	-17	0	0	2	8
10010	1918	20	20	0	0	0	0	2	8
10010	1919	20	22	-2	-10	0	0	2	8
10011	1910	12	22	-10	-83	+	0	10	0
10011	1911	13	21	-8	-62	+	0	10	0
10011	1912	11	29	-18	-164	+	0	10	0
10011	1913	22	40	-18	-82	+	0	10	0
10011	1914	13	24	-11	-85	+	0	10	0
10011	1915	9	27	-18	-200	+	0	10	0
10011	1916	16	33	-17	-106	+	0	10	0
10011	1917	12	23	-11	-92	+	0	10	0
10011	1918	15	39	-24	-160	+	0	10	0
10011	1919	12	23	-11	-92	+	0	10	0
10015	1910	15	19	-4	-27	+	0	7	3
10015	1911	17	19	-2	-12	0	0	7	3
10015	1912	11	14	-3	-27	0	0	7	3
10015	1913	16	22	-6	-38	+	0	7	3
10015	1914	7	13	-6	-86	+	0	7	3
10015	1915	17	23	-6	-35	+	0	7	3
10015	1916	10	13	-3	-30	+	0	7	3
10015	1917	15	16	-1	-7	0	0	7	3
10015	1918	18	23	-5	-28	+	0	7	3
10015	1919	15	19	-4	-27	+	0	7	3
10017	1910	22	25	-3	-14	0	1	0	9
10017	1911	21	24	-3	-14	0	1	0	9
10017	1912	40	38	2	5	0	1	0	9
10017	1913	24	21	3	12	0	1	0	9
10017	1914	27	29	-2	-7	0	1	0	9
10017	1915	22	22	0	0	0	1	0	9
10017	1916	25	25	0	0	0	1	0	9
10017	1917	34	35	-1	-3	0	1	0	9
10017	1918	30	25	5	17	-	1	0	9
10017	1919	34	39	-5	-15	0	1	0	9
10019	1910	73	77	-4	-5	0	0	1	9
10019	1911	82	89	-7	-9	0	0	1	9
10019	1912	68	68	0	0	0	0	1	9
10019	1913	73	83	-10	-14	+	0	1	9
10019	1914	85	90	-5	-6	0	0	1	9
10019	1915	78	84	-6	-8	0	0	1	9
10019	1916	84	88	-4	-5	0	0	1	9
10019	1917	115	120	-5	-4	0	0	1	9
10019	1918	119	112	7	6	0	0	1	9
10019	1919	133	134	-1	-1	0	0	1	9
10021	1910	45	43	2	4	0	0	0	10
10021	1911	33	34	-1	-3	0	0	0	10
10021	1912	29	29	0	0	0	0	0	10
10021	1913	38	36	2	5	0	0	0	10
10021	1914	49	51	-2	-4	0	0	0	10
10021	1915	36	38	-2	-6	0	0	0	10
10021	1916	37	36	1	3	0	0	0	10
10021	1917	41	42	-1	-2	0	0	0	10
10021	1918	47	50	-3	-6	0	0	0	10
10021	1919	46	46	0	0	0	0	0	10
10022	1910	107	125	-18	-17	+	0	10	0
10022	1911	94	109	-15	-16	+	0	10	0
10022	1912	98	122	-24	-24	+	0	10	0
10022	1913	100	124	-24	-24	+	0	10	0
10022	1914	97	115	-18	-19	+	0	10	0
10022	1915	91	117	-26	-29	+	0	10	0
10022	1916	106	127	-21	-20	+	0	10	0
10022	1917	91	118	-27	-30	+	0	10	0
10022	1918	120	147	-27	-22	+	0	10	0
10022	1919	97	111	-14	-14	+	0	10	0
10023	1910	61	65	-4	-7	0	0	5	5
10023	1911	54	65	-11	-20	+	0	5	5
10023	1912	70	79	-9	-13	+	0	5	5
10023	1913	55	62	-7	-13	0	0	5	5
10023	1914	47	55	-8	-17	+	0	5	5
10023	1915	44	55	-11	-25	+	0	5	5
10023	1916	52	54	-2	-4	0	0	5	5
10023	1917	52	63	-11	-21	+	0	5	5
10023	1918	67	70	-3	-4	0	0	5	5
10023	1919	45	50	-5	-11	0	0	5	5
